"country","lorenz_50","year"
"Germany",17.52,1998
"Ireland",NA,1998
"Italy",NA,1998
"South Korea",NA,1998
"Luxembourg",NA,1998
"Mexico",NA,1998
"Netherlands",24.18,1998
"Norway",22.01,1998
"Poland",NA,1998
"Russia",NA,1998
"Slovakia",NA,1998
"Spain",NA,1998
"Switzerland",26.35,1998
"United Kingdom",15.08,1998
"United States",17.68,1998
"Australia",16.28,1999
"Austria",NA,1999
"Belgium",NA,1999
"Czech Republic",NA,1999
"Denmark",20.79,1999
"Finland",22.11,1999
"France",NA,1999
"Germany",17.49,1999
"Ireland",NA,1999
"Italy",NA,1999
"South Korea",NA,1999
"Luxembourg",NA,1999
"Mexico",NA,1999
"Netherlands",24.18,1999
"Norway",22.01,1999
"Poland",NA,1999
"Russia",NA,1999
"Slovakia",NA,1999
"Spain",NA,1999
"Switzerland",26.35,1999
"United Kingdom",14.98,1999
"United States",17.71,1999
"Australia",16.28,2000
"Austria",NA,2000
"Belgium",NA,2000
"Czech Republic",17.62,2000
"Denmark",20.79,2000
"Finland",22.11,2000
"France",NA,2000
"Germany",17.14,2000
"Ireland",17.49,2000
"Italy",NA,2000
"South Korea",NA,2000
"Luxembourg",18.96,2000
"Mexico",NA,2000
"Netherlands",24.18,2000
"Norway",22.01,2000
"Poland",NA,2000
"Russia",NA,2000
"Slovakia",NA,2000
"Spain",NA,2000
"Switzerland",26.35,2000
"United Kingdom",14.98,2000
"United States",17.87,2000
"Australia",16.28,2001
"Austria",18.66,2001
"Belgium",14.77,2001
"Czech Republic",17.62,2001
"Denmark",20.79,2001
"Finland",22.11,2001
"France",NA,2001
"Germany",16.25,2001
"Ireland",17.49,2001
"Italy",NA,2001
"South Korea",NA,2001
"Luxembourg",18.96,2001
"Mexico",NA,2001
"Netherlands",24.18,2001
"Norway",22.01,2001
"Poland",NA,2001
"Russia",NA,2001
"Slovakia",NA,2001
"Spain",NA,2001
"Switzerland",26.4,2001
"United Kingdom",15.47,2001
"United States",17.47,2001
"Australia",17.1,2002
"Austria",18.66,2002
"Belgium",14.77,2002
"Czech Republic",17.62,2002
"Denmark",20.14,2002
"Finland",22.38,2002
"France",NA,2002
"Germany",15.6,2002
"Ireland",17.49,2002
"Italy",NA,2002
"South Korea",NA,2002
"Luxembourg",18.96,2002
"Mexico",NA,2002
"Netherlands",17.7,2002
"Norway",19.61,2002
"Poland",NA,2002
"Russia",NA,2002
"Slovakia",18.47,2002
"Spain",16.98,2002
"Switzerland",26.4,2002
"United Kingdom",16.03,2002
"United States",17.38,2002
"Australia",17.1,2003
"Austria",18.66,2003
"Belgium",14.77,2003
"Czech Republic",17.39,2003
"Denmark",20.14,2003
"Finland",22.38,2003
"France",NA,2003
"Germany",15.18,2003
"Ireland",15.67,2003
"Italy",NA,2003
"South Korea",NA,2003
"Luxembourg",18.82,2003
"Mexico",NA,2003
"Netherlands",17.7,2003
"Norway",19.61,2003
"Poland",NA,2003
"Russia",NA,2003
"Slovakia",18.47,2003
"Spain",16.98,2003
"Switzerland",26.32,2003
"United Kingdom",15.83,2003
"United States",17.03,2003
"Australia",17.49,2004
"Austria",18.41,2004
"Belgium",14.17,2004
"Czech Republic",17.39,2004
"Denmark",20.14,2004
"Finland",22.38,2004
"France",NA,2004
"Germany",14.97,2004
"Ireland",14.69,2004
"Italy",NA,2004
"South Korea",NA,2004
"Luxembourg",18.61,2004
"Mexico",NA,2004
"Netherlands",17.7,2004
"Norway",19.61,2004
"Poland",NA,2004
"Russia",NA,2004
"Slovakia",18.47,2004
"Spain",16.98,2004
"Switzerland",26.32,2004
"United Kingdom",15.92,2004
"United States",17.1,2004
"Australia",17.49,2005
"Austria",17.53,2005
"Belgium",15.29,2005
"Czech Republic",17.39,2005
"Denmark",20.14,2005
"Finland",22.38,2005
"France",NA,2005
"Germany",13.85,2005
"Ireland",14.7,2005
"Italy",NA,2005
"South Korea",NA,2005
"Luxembourg",18.47,2005
"Mexico",NA,2005
"Netherlands",17.7,2005
"Norway",19.61,2005
"Poland",NA,2005
"Russia",NA,2005
"Slovakia",18.47,2005
"Spain",17.23,2005
"Switzerland",25.49,2005
"United Kingdom",15.48,2005
"United States",17.05,2005
"Australia",18.03,2006
"Austria",16.67,2006
"Belgium",15.45,2006
"Czech Republic",18.85,2006
"Denmark",21.03,2006
"Finland",24.07,2006
"France",NA,2006
"Germany",14.08,2006
"Ireland",14.37,2006
"Italy",NA,2006
"South Korea",NA,2006
"Luxembourg",18.61,2006
"Mexico",NA,2006
"Netherlands",21.72,2006
"Norway",19.61,2006
"Poland",NA,2006
"Russia",NA,2006
"Slovakia",21.17,2006
"Spain",18.15,2006
"Switzerland",25.49,2006
"United Kingdom",15.67,2006
"United States",17.04,2006
"Australia",18.03,2007
"Austria",16.05,2007
"Belgium",15.48,2007
"Czech Republic",18.85,2007
"Denmark",21.03,2007
"Finland",24.07,2007
"France",NA,2007
"Germany",14.29,2007
"Ireland",14.56,2007
"Italy",NA,2007
"South Korea",NA,2007
"Luxembourg",18.69,2007
"Mexico",NA,2007
"Netherlands",21.72,2007
"Norway",NA,2007
"Poland",NA,2007
"Russia",NA,2007
"Slovakia",21.17,2007
"Spain",18.84,2007
"Switzerland",25.05,2007
"United Kingdom",16.01,2007
"United States",17.35,2007
"Australia",18.03,2008
"Austria",15.99,2008
"Belgium",16.12,2008
"Czech Republic",18.85,2008
"Denmark",21.03,2008
"Finland",24.07,2008
"France",NA,2008
"Germany",14.74,2008
"Ireland",11.77,2008
"Italy",NA,2008
"South Korea",NA,2008
"Luxembourg",17.2,2008
"Mexico",NA,2008
"Netherlands",21.72,2008
"Norway",20.48,2008
"Poland",NA,2008
"Russia",NA,2008
"Slovakia",21.17,2008
"Spain",18.02,2008
"Switzerland",24.85,2008
"United Kingdom",15.73,2008
"United States",16.76,2008
"Australia",17.56,2009
"Austria",14.94,2009
"Belgium",16.12,2009
"Czech Republic",18.64,2009
"Denmark",19.17,2009
"Finland",24.08,2009
"France",NA,2009
"Germany",14.2,2009
"Ireland",9.28,2009
"Italy",NA,2009
"South Korea",NA,2009
"Luxembourg",17.4,2009
"Mexico",NA,2009
"Netherlands",22.21,2009
"Norway",20.48,2009
"Poland",NA,2009
"Russia",NA,2009
"Slovakia",19.94,2009
"Spain",16.38,2009
"Switzerland",25.11,2009
"United Kingdom",14.99,2009
"United States",15.86,2009
"Australia",17.56,2010
"Austria",15.07,2010
"Belgium",16.12,2010
"Czech Republic",18.64,2010
"Denmark",19.17,2010
"Finland",24.08,2010
"France",NA,2010
"Germany",14.19,2010
"Ireland",8.82,2010
"Italy",NA,2010
"South Korea",NA,2010
"Luxembourg",17.79,2010
"Mexico",NA,2010
"Netherlands",22.21,2010
"Norway",20.48,2010
"Poland",NA,2010
"Russia",NA,2010
"Slovakia",19.94,2010
"Spain",15.06,2010
"Switzerland",24.79,2010
"United Kingdom",14.99,2010
"United States",15.6,2010
"Australia",17.56,2011
"Austria",15.23,2011
"Belgium",NA,2011
"Czech Republic",18.64,2011
"Denmark",19.17,2011
"Finland",24.08,2011
"France",NA,2011
"Germany",14.31,2011
"Ireland",9.13,2011
"Italy",NA,2011
"South Korea",NA,2011
"Luxembourg",17.1,2011
"Mexico",NA,2011
"Netherlands",22.21,2011
"Norway",20.48,2011
"Poland",NA,2011
"Russia",NA,2011
"Slovakia",19.94,2011
"Spain",15.05,2011
"Switzerland",25.16,2011
"United Kingdom",15.41,2011
"United States",15.33,2011
"Australia",17.49,2012
"Austria",15.2,2012
"Belgium",NA,2012
"Czech Republic",18.01,2012
"Denmark",18.78,2012
"Finland",24.13,2012
"France",NA,2012
"Germany",14.1,2012
"Ireland",8.47,2012
"Italy",12.29,2012
"South Korea",NA,2012
"Luxembourg",16.28,2012
"Mexico",NA,2012
"Netherlands",21.35,2012
"Norway",20.61,2012
"Poland",NA,2012
"Russia",NA,2012
"Slovakia",20.38,2012
"Spain",14.56,2012
"Switzerland",25.22,2012
"United Kingdom",15.41,2012
"United States",15.37,2012
"Australia",17.49,2013
"Austria",15.16,2013
"Belgium",NA,2013
"Czech Republic",18.01,2013
"Denmark",18.78,2013
"Finland",24.13,2013
"France",NA,2013
"Germany",13.71,2013
"Ireland",9.36,2013
"Italy",12.29,2013
"South Korea",NA,2013
"Luxembourg",16.85,2013
"Mexico",NA,2013
"Netherlands",21.35,2013
"Norway",20.61,2013
"Poland",NA,2013
"Russia",NA,2013
"Slovakia",20.38,2013
"Spain",13.25,2013
"Switzerland",24.12,2013
"United Kingdom",16.08,2013
"United States",15.63,2013
"Australia",17.49,2014
"Austria",15.33,2014
"Belgium",NA,2014
"Czech Republic",18.01,2014
"Denmark",18.78,2014
"Finland",24.13,2014
"France",NA,2014
"Germany",13.98,2014
"Ireland",10.99,2014
"Italy",12.29,2014
"South Korea",NA,2014
"Luxembourg",17.43,2014
"Mexico",NA,2014
"Netherlands",20.97,2014
"Norway",20.61,2014
"Poland",NA,2014
"Russia",NA,2014
"Slovakia",22.29,2014
"Spain",13.35,2014
"Switzerland",24.2,2014
"United Kingdom",16.08,2014
"United States",15.58,2014
"Australia",18.03,2015
"Austria",15.09,2015
"Belgium",NA,2015
"Czech Republic",18.94,2015
"Denmark",18.77,2015
"Finland",24.14,2015
"France",NA,2015
"Germany",14.06,2015
"Ireland",11.9,2015
"Italy",11.82,2015
"South Korea",NA,2015
"Luxembourg",18.54,2015
"Mexico",NA,2015
"Netherlands",20.97,2015
"Norway",19.68,2015
"Poland",NA,2015
"Russia",NA,2015
"Slovakia",21.89,2015
"Spain",13.43,2015
"Switzerland",23.93,2015
"United Kingdom",16.91,2015
"United States",15.71,2015
"Australia",18.27,2016
"Austria",15.63,2016
"Belgium",NA,2016
"Czech Republic",NA,2016
"Denmark",NA,2016
"Finland",NA,2016
"France",NA,2016
"Germany",14.64,2016
"Ireland",14.65,2016
"Italy",NA,2016
"South Korea",NA,2016
"Luxembourg",16.49,2016
"Mexico",NA,2016
"Netherlands",21.41,2016
"Norway",18.99,2016
"Poland",NA,2016
"Russia",NA,2016
"Slovakia",22.54,2016
"Spain",15.75,2016
"Switzerland",23.78,2016
"United Kingdom",17.14,2016
"United States",14.97,2016
"Australia",18.27,2017
"Austria",15.62,2017
"Belgium",NA,2017
"Czech Republic",18.94,2017
"Denmark",18.77,2017
"Finland",24.14,2017
"France",NA,2017
"Germany",13.88,2017
"Ireland",13.32,2017
"Italy",11.82,2017
"South Korea",NA,2017
"Luxembourg",15.97,2017
"Mexico",NA,2017
"Netherlands",21,2017
"Norway",19.68,2017
"Poland",NA,2017
"Russia",NA,2017
"Slovakia",23.28,2017
"Spain",14.52,2017
"Switzerland",24.09,2017
"United Kingdom",16.91,2017
"United States",15.87,2017
"Australia",18.27,2018
"Austria",15.3,2018
"Belgium",NA,2018
"Czech Republic",18.94,2018
"Denmark",18.77,2018
"Finland",24.14,2018
"France",NA,2018
"Germany",14.25,2018
"Ireland",14.17,2018
"Italy",11.82,2018
"South Korea",NA,2018
"Luxembourg",16.49,2018
"Mexico",NA,2018
"Netherlands",21.41,2018
"Norway",19.8,2018
"Poland",NA,2018
"Russia",NA,2018
"Slovakia",22.54,2018
"Spain",14.76,2018
"Switzerland",23.78,2018
"United Kingdom",16.91,2018
"United States",16.06,2018
"Australia",18.27,2019
"Austria",15.63,2019
"Belgium",NA,2019
"Czech Republic",NA,2019
"Denmark",NA,2019
"Finland",NA,2019
"France",NA,2019
"Germany",14.64,2019
"Ireland",14.65,2019
"Italy",NA,2019
"South Korea",NA,2019
"Luxembourg",16.49,2019
"Mexico",NA,2019
"Netherlands",21.41,2019
"Norway",19.8,2019
"Poland",NA,2019
"Russia",NA,2019
"Slovakia",22.54,2019
"Spain",15.75,2019
"Switzerland",23.78,2019
"United Kingdom",17.14,2019
"United States",16.16,2019
"Australia",18.27,2020
"Austria",15.63,2020
"Belgium",NA,2020
"Czech Republic",NA,2020
"Denmark",NA,2020
"Finland",NA,2020
"France",NA,2020
"Germany",14.64,2020
"Ireland",14.65,2020
"Italy",NA,2020
"South Korea",NA,2020
"Luxembourg",16.49,2020
"Mexico",NA,2020
"Netherlands",21.41,2020
"Norway",18.99,2020
"Poland",NA,2020
"Russia",NA,2020
"Slovakia",22.54,2020
"Spain",15.75,2020
"Switzerland",23.78,2020
"United Kingdom",17.14,2020
"United States",14.97,2020
