"country","lorenz_75","year"
"Germany",45.99,1998
"Ireland",NA,1998
"Italy",NA,1998
"South Korea",NA,1998
"Luxembourg",NA,1998
"Mexico",NA,1998
"Netherlands",52.38,1998
"Norway",49.6,1998
"Poland",NA,1998
"Russia",NA,1998
"Slovakia",NA,1998
"Spain",NA,1998
"Switzerland",52.7,1998
"United Kingdom",42.26,1998
"United States",43.02,1998
"Australia",44.54,1999
"Austria",NA,1999
"Belgium",NA,1999
"Czech Republic",NA,1999
"Denmark",50.37,1999
"Finland",49.53,1999
"France",NA,1999
"Germany",45.78,1999
"Ireland",NA,1999
"Italy",NA,1999
"South Korea",NA,1999
"Luxembourg",NA,1999
"Mexico",NA,1999
"Netherlands",52.38,1999
"Norway",49.6,1999
"Poland",NA,1999
"Russia",NA,1999
"Slovakia",NA,1999
"Spain",NA,1999
"Switzerland",52.7,1999
"United Kingdom",40.76,1999
"United States",42.93,1999
"Australia",44.54,2000
"Austria",NA,2000
"Belgium",NA,2000
"Czech Republic",45.56,2000
"Denmark",50.37,2000
"Finland",49.53,2000
"France",NA,2000
"Germany",45.55,2000
"Ireland",45.64,2000
"Italy",NA,2000
"South Korea",NA,2000
"Luxembourg",45.6,2000
"Mexico",NA,2000
"Netherlands",52.38,2000
"Norway",49.6,2000
"Poland",NA,2000
"Russia",NA,2000
"Slovakia",NA,2000
"Spain",NA,2000
"Switzerland",52.7,2000
"United Kingdom",40.76,2000
"United States",42.85,2000
"Australia",44.54,2001
"Austria",46.71,2001
"Belgium",45.23,2001
"Czech Republic",45.56,2001
"Denmark",50.37,2001
"Finland",49.53,2001
"France",NA,2001
"Germany",43.62,2001
"Ireland",45.64,2001
"Italy",NA,2001
"South Korea",NA,2001
"Luxembourg",45.6,2001
"Mexico",NA,2001
"Netherlands",52.38,2001
"Norway",49.6,2001
"Poland",NA,2001
"Russia",NA,2001
"Slovakia",NA,2001
"Spain",NA,2001
"Switzerland",53.1,2001
"United Kingdom",41.66,2001
"United States",42.48,2001
"Australia",45.38,2002
"Austria",46.71,2002
"Belgium",45.23,2002
"Czech Republic",45.56,2002
"Denmark",49.86,2002
"Finland",49.17,2002
"France",NA,2002
"Germany",43.44,2002
"Ireland",45.64,2002
"Italy",NA,2002
"South Korea",NA,2002
"Luxembourg",45.6,2002
"Mexico",NA,2002
"Netherlands",46.3,2002
"Norway",46.68,2002
"Poland",NA,2002
"Russia",NA,2002
"Slovakia",47.03,2002
"Spain",44.47,2002
"Switzerland",53.1,2002
"United Kingdom",43.06,2002
"United States",42.69,2002
"Australia",45.38,2003
"Austria",46.71,2003
"Belgium",45.23,2003
"Czech Republic",45.28,2003
"Denmark",49.86,2003
"Finland",49.17,2003
"France",NA,2003
"Germany",43.1,2003
"Ireland",43.14,2003
"Italy",NA,2003
"South Korea",NA,2003
"Luxembourg",46.02,2003
"Mexico",NA,2003
"Netherlands",46.3,2003
"Norway",46.68,2003
"Poland",NA,2003
"Russia",NA,2003
"Slovakia",47.03,2003
"Spain",44.47,2003
"Switzerland",53.63,2003
"United Kingdom",42.84,2003
"United States",42.41,2003
"Australia",45.43,2004
"Austria",46.3,2004
"Belgium",43.84,2004
"Czech Republic",45.28,2004
"Denmark",49.86,2004
"Finland",49.17,2004
"France",NA,2004
"Germany",42.93,2004
"Ireland",41.99,2004
"Italy",NA,2004
"South Korea",NA,2004
"Luxembourg",45.66,2004
"Mexico",NA,2004
"Netherlands",46.3,2004
"Norway",46.68,2004
"Poland",NA,2004
"Russia",NA,2004
"Slovakia",47.03,2004
"Spain",44.47,2004
"Switzerland",53.63,2004
"United Kingdom",42.81,2004
"United States",42.29,2004
"Australia",45.43,2005
"Austria",46.16,2005
"Belgium",44.56,2005
"Czech Republic",45.28,2005
"Denmark",49.86,2005
"Finland",49.17,2005
"France",NA,2005
"Germany",41.54,2005
"Ireland",41.65,2005
"Italy",NA,2005
"South Korea",NA,2005
"Luxembourg",45.02,2005
"Mexico",NA,2005
"Netherlands",46.3,2005
"Norway",46.68,2005
"Poland",NA,2005
"Russia",NA,2005
"Slovakia",47.03,2005
"Spain",44.99,2005
"Switzerland",51.62,2005
"United Kingdom",42.25,2005
"United States",42.06,2005
"Australia",44.52,2006
"Austria",44.85,2006
"Belgium",45.22,2006
"Czech Republic",47.05,2006
"Denmark",50.12,2006
"Finland",50.84,2006
"France",NA,2006
"Germany",42.02,2006
"Ireland",41.53,2006
"Italy",NA,2006
"South Korea",NA,2006
"Luxembourg",45.19,2006
"Mexico",NA,2006
"Netherlands",48.54,2006
"Norway",46.68,2006
"Poland",NA,2006
"Russia",NA,2006
"Slovakia",49.97,2006
"Spain",45.83,2006
"Switzerland",51.62,2006
"United Kingdom",42.11,2006
"United States",41.96,2006
"Australia",44.52,2007
"Austria",43.78,2007
"Belgium",45.16,2007
"Czech Republic",47.05,2007
"Denmark",50.12,2007
"Finland",50.84,2007
"France",NA,2007
"Germany",42.18,2007
"Ireland",41.26,2007
"Italy",NA,2007
"South Korea",NA,2007
"Luxembourg",45.61,2007
"Mexico",NA,2007
"Netherlands",48.54,2007
"Norway",NA,2007
"Poland",NA,2007
"Russia",NA,2007
"Slovakia",49.97,2007
"Spain",45.66,2007
"Switzerland",50.87,2007
"United Kingdom",43.31,2007
"United States",42.73,2007
"Australia",44.52,2008
"Austria",43.62,2008
"Belgium",46.13,2008
"Czech Republic",47.05,2008
"Denmark",50.12,2008
"Finland",50.84,2008
"France",NA,2008
"Germany",42.52,2008
"Ireland",39.41,2008
"Italy",NA,2008
"South Korea",NA,2008
"Luxembourg",43.21,2008
"Mexico",NA,2008
"Netherlands",48.54,2008
"Norway",48.46,2008
"Poland",NA,2008
"Russia",NA,2008
"Slovakia",49.97,2008
"Spain",44.4,2008
"Switzerland",51.14,2008
"United Kingdom",42.55,2008
"United States",41.99,2008
"Australia",44.87,2009
"Austria",42.06,2009
"Belgium",46.13,2009
"Czech Republic",47.07,2009
"Denmark",48.11,2009
"Finland",51.24,2009
"France",NA,2009
"Germany",42.59,2009
"Ireland",35.55,2009
"Italy",NA,2009
"South Korea",NA,2009
"Luxembourg",43.92,2009
"Mexico",NA,2009
"Netherlands",49.81,2009
"Norway",48.46,2009
"Poland",NA,2009
"Russia",NA,2009
"Slovakia",48.6,2009
"Spain",42.7,2009
"Switzerland",51.45,2009
"United Kingdom",41.5,2009
"United States",41.02,2009
"Australia",44.87,2010
"Austria",42.83,2010
"Belgium",46.13,2010
"Czech Republic",47.07,2010
"Denmark",48.11,2010
"Finland",51.24,2010
"France",NA,2010
"Germany",42.54,2010
"Ireland",35.62,2010
"Italy",NA,2010
"South Korea",NA,2010
"Luxembourg",45.08,2010
"Mexico",NA,2010
"Netherlands",49.81,2010
"Norway",48.46,2010
"Poland",NA,2010
"Russia",NA,2010
"Slovakia",48.6,2010
"Spain",41.22,2010
"Switzerland",51.11,2010
"United Kingdom",41.5,2010
"United States",41.06,2010
"Australia",44.87,2011
"Austria",43.03,2011
"Belgium",NA,2011
"Czech Republic",47.07,2011
"Denmark",48.11,2011
"Finland",51.24,2011
"France",NA,2011
"Germany",42.31,2011
"Ireland",36.43,2011
"Italy",NA,2011
"South Korea",NA,2011
"Luxembourg",43.92,2011
"Mexico",NA,2011
"Netherlands",49.81,2011
"Norway",48.46,2011
"Poland",NA,2011
"Russia",NA,2011
"Slovakia",48.6,2011
"Spain",41.27,2011
"Switzerland",51.76,2011
"United Kingdom",42.32,2011
"United States",40.22,2011
"Australia",43.85,2012
"Austria",43.31,2012
"Belgium",NA,2012
"Czech Republic",46.25,2012
"Denmark",47.87,2012
"Finland",51.05,2012
"France",NA,2012
"Germany",41.96,2012
"Ireland",35.43,2012
"Italy",38.87,2012
"South Korea",NA,2012
"Luxembourg",42.35,2012
"Mexico",NA,2012
"Netherlands",48.8,2012
"Norway",48.62,2012
"Poland",NA,2012
"Russia",NA,2012
"Slovakia",48.77,2012
"Spain",41.02,2012
"Switzerland",51.66,2012
"United Kingdom",42.32,2012
"United States",40.46,2012
"Australia",43.85,2013
"Austria",43.21,2013
"Belgium",NA,2013
"Czech Republic",46.25,2013
"Denmark",47.87,2013
"Finland",51.05,2013
"France",NA,2013
"Germany",41.34,2013
"Ireland",35.8,2013
"Italy",38.87,2013
"South Korea",NA,2013
"Luxembourg",43.79,2013
"Mexico",NA,2013
"Netherlands",48.8,2013
"Norway",48.62,2013
"Poland",NA,2013
"Russia",NA,2013
"Slovakia",48.77,2013
"Spain",39.72,2013
"Switzerland",50.31,2013
"United Kingdom",43.52,2013
"United States",40.68,2013
"Australia",43.85,2014
"Austria",43.41,2014
"Belgium",NA,2014
"Czech Republic",46.25,2014
"Denmark",47.87,2014
"Finland",51.05,2014
"France",NA,2014
"Germany",42.24,2014
"Ireland",38.45,2014
"Italy",38.87,2014
"South Korea",NA,2014
"Luxembourg",44.12,2014
"Mexico",NA,2014
"Netherlands",48.21,2014
"Norway",48.62,2014
"Poland",NA,2014
"Russia",NA,2014
"Slovakia",51.68,2014
"Spain",39.64,2014
"Switzerland",50.63,2014
"United Kingdom",43.52,2014
"United States",40.55,2014
"Australia",44.86,2015
"Austria",43.22,2015
"Belgium",NA,2015
"Czech Republic",47.75,2015
"Denmark",47.56,2015
"Finland",50.72,2015
"France",NA,2015
"Germany",42.04,2015
"Ireland",38.88,2015
"Italy",37.66,2015
"South Korea",NA,2015
"Luxembourg",45.82,2015
"Mexico",NA,2015
"Netherlands",48.21,2015
"Norway",47.46,2015
"Poland",NA,2015
"Russia",NA,2015
"Slovakia",51.32,2015
"Spain",39.69,2015
"Switzerland",50.31,2015
"United Kingdom",44.16,2015
"United States",40.75,2015
"Australia",44.86,2016
"Austria",43.7,2016
"Belgium",NA,2016
"Czech Republic",NA,2016
"Denmark",NA,2016
"Finland",NA,2016
"France",NA,2016
"Germany",42.38,2016
"Ireland",42.1,2016
"Italy",NA,2016
"South Korea",NA,2016
"Luxembourg",43.54,2016
"Mexico",NA,2016
"Netherlands",48.57,2016
"Norway",46.87,2016
"Poland",NA,2016
"Russia",NA,2016
"Slovakia",52.38,2016
"Spain",42.69,2016
"Switzerland",50.11,2016
"United Kingdom",44.05,2016
"United States",39.28,2016
"Australia",44.86,2017
"Austria",43.9,2017
"Belgium",NA,2017
"Czech Republic",47.75,2017
"Denmark",47.56,2017
"Finland",50.72,2017
"France",NA,2017
"Germany",42.14,2017
"Ireland",39.9,2017
"Italy",37.66,2017
"South Korea",NA,2017
"Luxembourg",43.03,2017
"Mexico",NA,2017
"Netherlands",47.99,2017
"Norway",47.46,2017
"Poland",NA,2017
"Russia",NA,2017
"Slovakia",53.07,2017
"Spain",41.32,2017
"Switzerland",50.41,2017
"United Kingdom",44.16,2017
"United States",40.67,2017
"Australia",44.86,2018
"Austria",43.04,2018
"Belgium",NA,2018
"Czech Republic",47.75,2018
"Denmark",47.56,2018
"Finland",50.72,2018
"France",NA,2018
"Germany",42.03,2018
"Ireland",40.81,2018
"Italy",37.66,2018
"South Korea",NA,2018
"Luxembourg",43.54,2018
"Mexico",NA,2018
"Netherlands",48.57,2018
"Norway",47.75,2018
"Poland",NA,2018
"Russia",NA,2018
"Slovakia",52.38,2018
"Spain",41.27,2018
"Switzerland",50.11,2018
"United Kingdom",44.16,2018
"United States",40.57,2018
"Australia",44.86,2019
"Austria",43.7,2019
"Belgium",NA,2019
"Czech Republic",NA,2019
"Denmark",NA,2019
"Finland",NA,2019
"France",NA,2019
"Germany",42.38,2019
"Ireland",42.1,2019
"Italy",NA,2019
"South Korea",NA,2019
"Luxembourg",43.54,2019
"Mexico",NA,2019
"Netherlands",48.57,2019
"Norway",47.75,2019
"Poland",NA,2019
"Russia",NA,2019
"Slovakia",52.38,2019
"Spain",42.69,2019
"Switzerland",50.11,2019
"United Kingdom",44.05,2019
"United States",40.59,2019
"Australia",44.86,2020
"Austria",43.7,2020
"Belgium",NA,2020
"Czech Republic",NA,2020
"Denmark",NA,2020
"Finland",NA,2020
"France",NA,2020
"Germany",42.38,2020
"Ireland",42.1,2020
"Italy",NA,2020
"South Korea",NA,2020
"Luxembourg",43.54,2020
"Mexico",NA,2020
"Netherlands",48.57,2020
"Norway",46.87,2020
"Poland",NA,2020
"Russia",NA,2020
"Slovakia",52.38,2020
"Spain",42.69,2020
"Switzerland",50.11,2020
"United Kingdom",44.05,2020
"United States",39.28,2020
